Encoder Position: -184563  Error: 189584  Integral Component: 145349  Control Voltage: 18958.4
Encoder Position: -184563  Error: 189563  Integral Component: 147244  Control Voltage: 18956.3
Encoder Position: -184539  Error: 189539  Integral Component: 149140  Control Voltage: 18953.9
Encoder Position: -184539  Error: 189539  Integral Component: 151035  Control Voltage: 18953.9
Encoder Position: -184511  Error: 189511  Integral Component: 152930  Control Voltage: 18951.1
Encoder Position: -184480  Error: 189511  Integral Component: 154825  Control Voltage: 18951.1
Encoder Position: -184480  Error: 189480  Integral Component: 156720  Control Voltage: 18948
Encoder Position: -184446  Error: 189446  Integral Component: 158615  Control Voltage: 18944.6
Encoder Position: -184446  Error: 189446  Integral Component: 160509  Control Voltage: 18944.6
Encoder Position: -184407  Error: 189407  Integral Component: 162403  Control Voltage: 18940.7
Encoder Position: -184366  Error: 189366  Integral Component: 164297  Control Voltage: 18936.6
Encoder Position: -184366  Error: 189366  Integral Component: 166190  Control Voltage: 18936.6
Encoder Position: -184320  Error: 189320  Integral Component: 168084  Control Voltage: 18932
Encoder Position: -184320  Error: 189320  Integral Component: 169977  Control Voltage: 18932
Encoder Position: -184272  Error: 189272  Integral Component: 171870  Control Voltage: 18927.2
Encoder Position: -184220  Error: 189220  Integral Component: 173762  Control Voltage: 18922
Encoder Position: -184220  Error: 189220  Integral Component: 175654  Control Voltage: 18922
Encoder Position: -184164  Error: 189164  Integral Component: 177546  Control Voltage: 18916.4
Encoder Position: -184164  Error: 189164  Integral Component: 179437  Control Voltage: 18916.4
Encoder Position: -184105  Error: 189105  Integral Component: 181328  Control Voltage: 18910.5
Encoder Position: -184042  Error: 189042  Integral Component: 183219  Control Voltage: 18904.2
Encoder Position: -183976  Error: 189042  Integral Component: 185109  Control Voltage: 18904.2
Encoder Position: -183976  Error: 188976  Integral Component: 186999  Control Voltage: 18897.6
Encoder Position: -183907  Error: 188907  Integral Component: 188888  Control Voltage: 18890.7
Encoder Position: -183907  Error: 188907  Integral Component: 190777  Control Voltage: 18890.7
Encoder Position: -183833  Error: 188833  Integral Component: 192665  Control Voltage: 18883.3
Encoder Position: -183756  Error: 188756  Integral Component: 194553  Control Voltage: 18875.6
Encoder Position: -183756  Error: 188756  Integral Component: 196440  Control Voltage: 18875.6
Encoder Position: -183676  Error: 188676  Integral Component: 198327  Control Voltage: 18867.6
Encoder Position: -183676  Error: 188676  Integral Component: 200214  Control Voltage: 18867.6
Encoder Position: -183592  Error: 188592  Integral Component: 202100  Control Voltage: 18859.2
Encoder Position: -183505  Error: 188505  Integral Component: 203985  Control Voltage: 18850.5
Encoder Position: -183505  Error: 188505  Integral Component: 205870  Control Voltage: 18850.5
Encoder Position: -183414  Error: 188414  Integral Component: 207754  Control Voltage: 18841.4
Encoder Position: -183414  Error: 188414  Integral Component: 209638  Control Voltage: 18841.4
Encoder Position: -183319  Error: 188319  Integral Component: 211521  Control Voltage: 18831.9
Encoder Position: -183221  Error: 188221  Integral Component: 213404  Control Voltage: 18822.1
Encoder Position: -183221  Error: 188221  Integral Component: 215286  Control Voltage: 18822.1
Encoder Position: -183119  Error: 188119  Integral Component: 217167  Control Voltage: 18811.9
Encoder Position: -183014  Error: 188119  Integral Component: 219048  Control Voltage: 18811.9
Encoder Position: -183014  Error: 188014  Integral Component: 220928  Control Voltage: 18801.4
Encoder Position: -182906  Error: 187906  Integral Component: 222807  Control Voltage: 18790.6
Encoder Position: -182906  Error: 187906  Integral Component: 224687  Control Voltage: 18790.6
Encoder Position: -182793  Error: 187793  Integral Component: 226564  Control Voltage: 18779.3
Encoder Position: -182678  Error: 187678  Integral Component: 228441  Control Voltage: 18767.8
Encoder Position: -182678  Error: 187678  Integral Component: 230318  Control Voltage: 18767.8
Encoder Position: -182559  Error: 187559  Integral Component: 232194  Control Voltage: 18755.9
Encoder Position: -182436  Error: 187436  Integral Component: 234068  Control Voltage: 18743.6
Encoder Position: -182436  Error: 187436  Integral Component: 235942  Control Voltage: 18743.6
Encoder Position: -182310  Error: 187310  Integral Component: 237815  Control Voltage: 18731
Encoder Position: -182180  Error: 187310  Integral Component: 239689  Control Voltage: 18731
Encoder Position: -182180  Error: 187180  Integral Component: 241560  Control Voltage: 18718
Encoder Position: -182048  Error: 187048  Integral Component: 243431  Control Voltage: 18704.8
Encoder Position: -182048  Error: 187048  Integral Component: 245301  Control Voltage: 18704.8
Encoder Position: -181913  Error: 186913  Integral Component: 247170  Control Voltage: 18691.3
Encoder Position: -181778  Error: 186778  Integral Component: 249038  Control Voltage: 18677.8
Encoder Position: -181778  Error: 186778  Integral Component: 250906  Control Voltage: 18677.8
Encoder Position: -181643  Error: 186643  Integral Component: 252772  Control Voltage: 18664.3
Encoder Position: -181507  Error: 186643  Integral Component: 254639  Control Voltage: 18664.3
Encoder Position: -181507  Error: 186507  Integral Component: 256504  Control Voltage: 18650.7
Encoder Position: -181371  Error: 186371  Integral Component: 258368  Control Voltage: 18637.1
Encoder Position: -181371  Error: 186371  Integral Component: 260231  Control Voltage: 18637.1
Encoder Position: -181235  Error: 186235  Integral Component: 262094  Control Voltage: 18623.5
Encoder Position: -181099  Error: 186235  Integral Component: 263956  Control Voltage: 18623.5
Encoder Position: -181099  Error: 186099  Integral Component: 265817  Control Voltage: 18609.9
Encoder Position: -180963  Error: 185963  Integral Component: 267677  Control Voltage: 18596.3
Encoder Position: -180827  Error: 185963  Integral Component: 269536  Control Voltage: 18596.3
Encoder Position: -180827  Error: 185827  Integral Component: 271395  Control Voltage: 18582.7
Encoder Position: -180691  Error: 185691  Integral Component: 273251  Control Voltage: 18569.1
Encoder Position: -180555  Error: 185691  Integral Component: 275108  Control Voltage: 18569.1
Encoder Position: -180555  Error: 185555  Integral Component: 276964  Control Voltage: 18555.5
Encoder Position: -180419  Error: 185419  Integral Component: 278818  Control Voltage: 18541.9
Encoder Position: -180419  Error: 185419  Integral Component: 280672  Control Voltage: 18541.9
Encoder Position: -180282  Error: 185282  Integral Component: 282525  Control Voltage: 18528.2
Encoder Position: -180146  Error: 185282  Integral Component: 284378  Control Voltage: 18528.2
Encoder Position: -180146  Error: 185146  Integral Component: 286229  Control Voltage: 18514.6
Encoder Position: -180010  Error: 185010  Integral Component: 288079  Control Voltage: 18501
Encoder Position: -180010  Error: 185010  Integral Component: 289930  Control Voltage: 18501
Encoder Position: -179874  Error: 184874  Integral Component: 291778  Control Voltage: 18487.4
Encoder Position: -179738  Error: 184874  Integral Component: 293627  Control Voltage: 18487.4
Encoder Position: -179738  Error: 184738  Integral Component: 295474  Control Voltage: 18473.8
Encoder Position: -179602  Error: 184602  Integral Component: 297320  Control Voltage: 18460.2
Encoder Position: -179602  Error: 184602  Integral Component: 299167  Control Voltage: 18460.2
Encoder Position: -179466  Error: 184466  Integral Component: 301011  Control Voltage: 18446.6
Encoder Position: -179329  Error: 184466  Integral Component: 302856  Control Voltage: 18446.6
